Location,Site,Row,Column,BroadLeaf
RS,RS037,3,4,0
RS,RS037,3,5,0
RS,RS037,3,6,1
RS,RS037,3,7,1
RS,RS038,1,0,1
RS,RS038,1,1,1
RS,RS038,1,2,1
RS,RS038,1,3,
RS,RS038,1,4,0
RS,RS038,1,5,1
RS,RS038,1,6,1
RS,RS038,1,7,1
RS,RS038,2,0,1
RS,RS038,2,1,1
RS,RS038,2,2,1
RS,RS038,2,3,1
RS,RS038,2,4,1
RS,RS038,2,5,1
RS,RS038,2,6,1
RS,RS038,2,7,1
RS,RS038,3,0,1
RS,RS038,3,1,1
RS,RS038,3,2,1
RS,RS038,3,3,1
RS,RS038,3,4,1
RS,RS038,3,5,1
RS,RS038,3,6,1
RS,RS038,3,7,1
RS,RS039,1,0,1
RS,RS039,1,1,1
RS,RS039,1,2,0
RS,RS039,1,3,9
RS,RS039,1,4,1
RS,RS039,1,5,1
RS,RS039,1,6,1
RS,RS039,1,7,1
RS,RS039,2,0,1
RS,RS039,2,1,1
RS,RS039,2,2,1
RS,RS039,2,3,1
RS,RS039,2,4,1
RS,RS039,2,5,1
RS,RS039,2,6,1
RS,RS039,2,7,1
RS,RS039,3,0,1
RS,RS039,3,1,9
RS,RS039,3,2,1
RS,RS039,3,3,1
RS,RS039,3,4,1
RS,RS039,3,5,1
RS,RS039,3,6,1
RS,RS039,3,7,1
YP,YP02_C,1,0,1
,YP02_C,1,1,1
,YP02_C,1,2,1
,YP02_C,1,3,1
,YP02_C,1,4,1
,YP02_C,1,5,1
,YP02_C,1,6,1
,YP02_C,1,7,1
,YP02_C,2,0,1
,YP02_C,2,1,1
,YP02_C,2,2,1
,YP02_C,2,3,1
,YP02_C,2,4,1
,YP02_C,2,5,1
,YP02_C,2,6,1
,YP02_C,2,7,1
,YP02_C,3,0,1
,YP02_C,3,1,1
,YP02_C,3,2,1
,YP02_C,3,3,1
,YP02_C,3,4,1
,YP02_C,3,5,1
,YP02_C,3,6,1
,YP02_C,3,7,1
,YP02_E,1,0,1
,YP02_E,1,1,1
,YP02_E,1,2,1
,YP02_E,1,3,1
,YP02_E,1,4,1
,YP02_E,1,5,1
,YP02_E,1,6,1
,YP02_E,1,7,1
,YP02_E,2,0,1
,YP02_E,2,1,1
,YP02_E,2,2,1
,YP02_E,2,3,1
,YP02_E,2,4,1
,YP02_E,2,5,1
,YP02_E,2,6,1
,YP02_E,2,7,1
,YP02_E,3,0,1
,YP02_E,3,1,1
,YP02_E,3,2,9
